strategy,date,code,side,lots,value,fee
milp_feeaware,2023-04-10,sh.601360,BUY,2,7663.92442816,6.131139542528
milp_feeaware,2023-04-10,sh.601138,BUY,3,5981.211117881999,4.7849688943055995
milp_feeaware,2023-04-10,sz.002463,BUY,1,7597.447708850998,6.077958167080799
milp_feeaware,2023-04-10,sz.002558,BUY,1,6760.370584968,5.408296467974401
milp_feeaware,2023-04-10,sz.002602,BUY,1,6595.919430099998,5.276735544079998
milp_feeaware,2023-04-10,sh.688981,BUY,1,6036.029999999999,4.828823999999999
milp_feeaware,2023-04-10,sz.300442,BUY,1,7203.431715479999,5.762745372384
milp_feeaware,2023-04-10,sh.688008,BUY,1,7626.4043595739995,6.1011234876591995
milp_feeaware,2023-04-10,sz.000725,BUY,1,1643.3539572449997,0.0
milp_feeaware,2023-04-10,sh.601688,BUY,2,3554.171448828,0.0
milp_feeaware,2023-04-17,sh.688981,SELL,1,6243.75,8.116875
milp_feeaware,2023-04-17,sz.300442,SELL,1,6776.300915999999,8.8091911908
milp_feeaware,2023-04-17,sh.688008,SELL,1,7507.95766686,9.760344966918
milp_feeaware,2023-04-17,sz.000725,SELL,1,1606.900566924,0.803450283462
milp_feeaware,2023-04-17,sh.601688,SELL,2,3493.788036678,1.746894018339
milp_feeaware,2023-04-17,sz.302132,BUY,1,4907.902999999999,0.0
milp_feeaware,2023-04-17,sh.688041,BUY,1,7657.65,6.12612
milp_feeaware,2023-04-17,sh.601857,BUY,7,7377.836225759998,5.902268980607999
milp_feeaware,2023-04-17,sh.601899,BUY,2,5565.4943984639995,4.452395518771199
milp_feeaware,2023-04-17,sh.601390,BUY,7,7542.170780144,6.0337366241152
milp_feeaware,2023-04-17,sh.603993,BUY,3,6610.193497907999,5.288154798326399
milp_feeaware,2023-04-17,sh.601600,BUY,11,7141.3530908719995,5.7130824726976
milp_feeaware,2023-04-17,sh.600028,BUY,2,3732.4139332479995,0.0
milp_feeaware,2023-04-17,sh.601618,BUY,9,4740.833313215999,0.0
